2021-12-28 04:21:06,077 (INFO) app_qr.py:qr => IP: 127.0.0.1 GET /qr-code page
127.0.0.1 - - [28/Dec/2021:16:01:29 +0000] "GET /static/assets/images/circlemodule.png HTTP/1.1" 200 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:29 +0000] "GET /static/assets/images/roundedmodule.png HTTP/1.1" 200 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:29 +0000] "GET /static/assets/images/verticalbarmodule.png HTTP/1.1" 200 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:29 +0000] "GET /static/assets/images/horizontalbarmodule.png HTTP/1.1" 200 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:29 +0000] "GET /static/assets/qr_preview.png HTTP/1.1" 200 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:30 +0000] "GET /static/assets/images/squaremodule.png HTTP/1.1" 200 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
2021-12-28 16:01:36,392 (INFO) app_qr.py:qr => IP: 127.0.0.1 POST /qr-code page
127.0.0.1 - - [28/Dec/2021:16:01:36 +0000] "POST /qr-code HTTP/1.1" 200 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
2021-12-28 16:01:49,945 (INFO) app_qr.py:qr => IP: 127.0.0.1 GET /qr-code page
127.0.0.1 - - [28/Dec/2021:16:01:49 +0000] "GET /qr-code HTTP/1.1" 200 25095 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:50 +0000] "GET /static/js/qr.js HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:50 +0000] "GET /static/assets/images/squaremodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:50 +0000] "GET /static/assets/images/gappedmodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:50 +0000] "GET /static/assets/images/circlemodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:50 +0000] "GET /static/assets/images/roundedmodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:50 +0000] "GET /static/assets/images/verticalbarmodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:50 +0000] "GET /static/assets/qr_preview.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:01:50 +0000] "GET /static/assets/images/horizontalbarmodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
2021-12-28 16:01:57,785 (INFO) app_qr.py:qr => IP: 127.0.0.1 POST /qr-code page
127.0.0.1 - - [28/Dec/2021:16:01:58 +0000] "POST /qr-code HTTP/1.1" 200 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
2021-12-28 16:02:08,829 (INFO) app_qr.py:qr => IP: 127.0.0.1 GET /qr-code page
127.0.0.1 - - [28/Dec/2021:16:02:08 +0000] "GET /qr-code HTTP/1.1" 200 25095 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:02:08 +0000] "GET /static/assets/images/squaremodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:02:08 +0000] "GET /static/assets/images/gappedmodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:02:08 +0000] "GET /static/js/qr.js HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:02:08 +0000] "GET /static/assets/images/roundedmodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:02:08 +0000] "GET /static/assets/images/circlemodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:02:08 +0000] "GET /static/assets/images/verticalbarmodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:02:09 +0000] "GET /static/assets/images/horizontalbarmodule.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:02:09 +0000] "GET /static/assets/qr_preview.png HTTP/1.1" 304 0 "http://localhost:8080/qr-code" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:10:24 +0000] "GET /qr-code/login HTTP/1.1" 200 2747 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:14:34 +0000] "GET /qr-code/login HTTP/1.1" 200 5860 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:14:34 +0000] "GET /qr-code/signin.css HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:14:34 +0000] "GET /docs/5.0/dist/css/bootstrap.min.css HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:14:34 +0000] "GET /static/js/qr.js HTTP/1.1" 304 0 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:14:34 +0000] "GET /docs/5.0/assets/brand/bootstrap-logo.svg HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:14:34 +0000] "GET /qr-code/signin.css HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:15:35 +0000] "GET /qr-code/login HTTP/1.1" 200 2896 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:15:36 +0000] "GET /docs/5.0/dist/css/bootstrap.min.css HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:15:36 +0000] "GET /docs/5.0/assets/brand/bootstrap-logo.svg HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:15:36 +0000] "GET /qr-code/signin.css HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:15:36 +0000] "GET /docs/5.0/assets/img/favicons/favicon.ico HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:15:36 +0000] "GET /docs/5.0/assets/img/favicons/favicon-32x32.png HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:15:36 +0000] "GET /docs/5.0/assets/img/favicons/favicon-16x16.png HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:15:38 +0000] "GET /docs/5.0/assets/img/favicons/manifest.json HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:18:07 +0000] "GET /qr-code/login HTTP/1.1" 200 3506 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:18:07 +0000] "GET /qr-code/signin.css HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:18:10 +0000] "GET /docs/5.0/assets/img/favicons/manifest.json HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:25:25 +0000] "GET /qr-code/login HTTP/1.1" 200 3462 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:25:28 +0000] "GET /docs/5.0/assets/img/favicons/manifest.json HTTP/1.1" 404 232 "http://localhost:8080/qr-code/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:26:27 +0000] "GET /qr-code/login HTTP/1.1" 200 2813 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:26:30 +0000] "GET /qr-code/login HTTP/1.1" 200 2813 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:32:53 +0000] "GET /qr-code/register HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:33:13 +0000] "GET /qr-code/register HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:33:15 +0000] "GET /qr-code/register HTTP/1.1" 404 232 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:33:44 +0000] "GET /qr-code/register HTTP/1.1" 200 3487 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:34:31 +0000] "GET /qr-code/register HTTP/1.1" 200 3425 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:35:18 +0000] "GET /qr-code/register HTTP/1.1" 200 3411 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:35:54 +0000] "GET /qr-code/register HTTP/1.1" 200 3411 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:36:07 +0000] "GET /qr-code/register HTTP/1.1" 200 3426 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:49:42 +0000] "GET /qr-code/register HTTP/1.1" 200 4694 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:53:04 +0000] "GET /qr-code/register HTTP/1.1" 200 4828 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:53:59 +0000] "GET /qr-code/register HTTP/1.1" 200 4838 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:54:14 +0000] "GET /qr-code/register HTTP/1.1" 200 4838 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:54:26 +0000] "GET /qr-code/register? HTTP/1.1" 200 4838 "http://localhost:8080/qr-code/register" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:54:58 +0000] "GET /qr-code/register? HTTP/1.1" 200 4659 "http://localhost:8080/qr-code/register" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:55:48 +0000] "GET /qr-code/register? HTTP/1.1" 200 4630 "http://localhost:8080/qr-code/register" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:56:00 +0000] "GET /qr-code/register HTTP/1.1" 200 4630 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:56:06 +0000] "POST /qr-code/register HTTP/1.1" 405 178 "http://localhost:8080/qr-code/register" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:16:56:44 +0000] "POST /qr-code/register HTTP/1.1" 405 178 "http://localhost:8080/qr-code/register" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:18:03:56 +0000] "GET /qr-code/register HTTP/1.1" 200 4971 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:18:04:08 +0000] "POST /qr-code/register HTTP/1.1" 405 178 "http://localhost:8080/qr-code/register" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:18:04:27 +0000] "GET /qr-code/register HTTP/1.1" 200 4971 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:18:04:42 +0000] "POST /qr-code/register HTTP/1.1" 405 178 "http://localhost:8080/qr-code/register" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:18:05:40 +0000] "GET /qr-code/register HTTP/1.1" 200 4939 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
127.0.0.1 - - [28/Dec/2021:18:05:55 +0000] "POST /qr-code/register HTTP/1.1" 405 178 "http://localhost:8080/qr-code/register" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
2021-12-28 18:06:52,439 (WARNING) _internal.py:_log => WebSocket transport not available. Install simple-websocket for improved performance.
2021-12-28 18:06:52,445 (INFO) _internal.py:_log =>  * Running on http://127.0.0.1:8080/ (Press CTRL+C to quit)
2021-12-28 18:06:52,447 (INFO) _internal.py:_log =>  * Restarting with stat
2021-12-28 18:06:53,880 (WARNING) _internal.py:_log => WebSocket transport not available. Install simple-websocket for improved performance.
2021-12-28 18:06:53,888 (WARNING) _internal.py:_log =>  * Debugger is active!
2021-12-28 18:06:53,891 (INFO) _internal.py:_log =>  * Debugger PIN: 106-436-927
2021-12-28 18:07:25,470 (INFO) _internal.py:_log => 127.0.0.1 - - [28/Dec/2021 18:07:25] "GET /qr-code/register HTTP/1.1" 200 -
2021-12-28 18:07:25,472 (INFO) _internal.py:_log => 127.0.0.1 - - [28/Dec/2021 18:07:25] "GET /qr-code/register HTTP/1.1" 200 -
2021-12-28 18:07:36,743 (INFO) _internal.py:_log => 127.0.0.1 - - [28/Dec/2021 18:07:36] "[31m[1mPOST /qr-code/register HTTP/1.1[0m" 405 -
2021-12-28 18:19:03,262 (WARNING) _internal.py:_log => WebSocket transport not available. Install simple-websocket for improved performance.
2021-12-28 18:19:03,270 (INFO) _internal.py:_log =>  * Running on http://127.0.0.1:8080/ (Press CTRL+C to quit)
2021-12-28 18:19:03,273 (INFO) _internal.py:_log =>  * Restarting with stat
2021-12-28 18:19:04,610 (WARNING) _internal.py:_log => WebSocket transport not available. Install simple-websocket for improved performance.
2021-12-28 18:19:04,615 (WARNING) _internal.py:_log =>  * Debugger is active!
2021-12-28 18:19:04,619 (INFO) _internal.py:_log =>  * Debugger PIN: 106-436-927
2021-12-28 18:19:33,253 (INFO) _internal.py:_log => 127.0.0.1 - - [28/Dec/2021 18:19:33] "GET /qr-code/register HTTP/1.1" 200 -
2021-12-28 18:20:22,415 (INFO) _internal.py:_log => 127.0.0.1 - - [28/Dec/2021 18:20:22] "[31m[1mPOST /qr-code/register HTTP/1.1[0m" 405 -
2021-12-28 18:20:46,312 (INFO) _internal.py:_log => 127.0.0.1 - - [28/Dec/2021 18:20:46] "[31m[1mPOST /qr-code/register HTTP/1.1[0m" 405 -
2021-12-28 18:21:02,867 (WARNING) _internal.py:_log => WebSocket transport not available. Install simple-websocket for improved performance.
2021-12-28 18:21:02,875 (INFO) _internal.py:_log =>  * Running on http://127.0.0.1:8080/ (Press CTRL+C to quit)
